<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.27	20796.5	21305.3	20731.3	20804.1	53977	0	0
2018.03.28	20805.2	21444.2	20785.1	21374.4	89143	0	0
2018.03.29	21367.5	21744.2	21103.7	21577.2	46869	0	0
2018.04.02	21532.1	21709.9	21030.2	21165.7	55750	0	0
2018.04.03	21138.1	21636.2	21138.1	21608.7	47019	0	0
2018.04.04	21581.1	21671.4	21133.6	21625.0	51633	0	0
2018.04.05	21614.8	22021.6	21560.7	21982.5	32683	0	0
2018.04.06	21964.9	21990.0	21406.8	21523.3	60268	0	0
2018.04.09	21537.0	21901.2	21533.6	21708.9	37708	0	0
2018.04.10	21724.0	22059.9	21626.2	21944.8	56026	0	0
2018.04.11	21943.5	21963.5	21656.8	21751.7	37618	0	0
2018.04.12	21734.0	21942.6	21683.9	21930.9	32931	0	0
2018.04.13	21907.3	22011.7	21779.4	21862.1	29314	0	0
2018.04.16	22055.2	22057.6	21841.5	21888.3	21895	0	0
2018.04.17	21883.2	22031.5	21851.7	21974.8	14787	0	0
2018.04.18	21963.5	22276.4	21959.9	22246.8	16705	0	0
2018.04.19	22219.2	22435.9	22122.8	22200.5	23676	0	0
2018.04.20	22197.5	22338.0	22116.6	22132.7	24325	0	0
2018.04.23	22229.2	22278.0	22090.8	22270.5	19092	0	0
2018.04.24	22261.7	22418.8	22031.2	22144.0	31530	0	0
2018.04.25	22141.3	22378.2	22131.4	22368.3	34688	0	0
2018.04.26	22378.1	22511.0	22330.0	22494.7	20426	0	0
2018.04.27	22499.8	22615.4	22415.6	22501.0	21028	0	0
2018.04.30	22503.2	22696.6	22474.6	22485.8	11431	0	0
2018.05.01	22473.2	22648.6	22473.2	22636.1	17870	0	0
2018.05.02	22637.3	22646.0	22451.8	22459.4	20554	0	0
2018.05.03	22458.5	22464.3	22140.2	22390.5	22145	0	0
2018.05.04	22389.2	22555.9	22209.2	22511.9	18716	0	0
2018.05.07	22513.1	22591.8	22391.4	22510.6	15517	0	0
2018.05.08	22493.1	22611.7	22449.2	22526.8	21171	0	0
2018.05.09	22513.0	22539.2	22398.6	22530.6	15087	0	0
2018.05.10	22525.4	22588.3	22462.5	22538.0	14098	0	0
2018.05.11	22529.1	22812.9	22529.1	22732.0	12806	0	0
2018.05.14	22755.5	22923.7	22753.2	22903.3	9990	0	0
2018.05.15	22909.4	22940.5	22746.9	22783.1	18148	0	0
2018.05.16	22760.6	22850.6	22720.4	22845.6	11847	0	0
2018.05.17	22834.4	22984.8	22816.6	22913.0	15708	0	0
2018.05.18	22890.6	22984.2	22826.7	22826.7	11910	0	0
2018.05.21	22931.5	23070.3	22914.1	23041.5	8944	0	0
2018.05.22	23041.7	23044.0	22926.5	22939.0	7062	0	0
2018.05.23	22917.4	22966.3	22490.2	22627.5	19247	0	0
2018.05.24	22623.7	22649.8	22088.6	22300.9	19906	0	0
2018.05.25	22290.8	22529.6	22267.5	22358.4	22097	0	0
2018.05.28	22456.0	22555.8	22358.7	22426.1	10238	0	0
2018.05.29	22419.1	22459.5	21921.9	22046.8	33168	0	0
2018.05.30	22041.8	22277.2	21931.5	22260.7	24406	0	0
2018.05.31	22237.3	22276.3	22015.9	22105.6	8925	0	0
2018.06.01	22093.1	22377.3	22085.5	22372.0	746	0	0
2018.06.04	22301.8	22563.7	22286.8	22558.1	415	0	0
2018.06.05	22555.6	22597.9	22443.4	22546.1	5651	0	0
2018.06.06	22526.0	22759.8	22501.1	22756.1	11164	0	0
2018.06.07	22787.3	22871.0	22629.6	22697.3	15601	0	0
2018.06.08	22687.1	22864.7	22508.1	22695.7	17784	0	0
2018.06.11	22596.7	22989.3	22596.7	22947.9	10025	0	0
2018.06.12	22921.8	23009.3	22780.4	22867.7	15718	0	0
2018.06.13	22845.4	22979.1	22822.7	22830.3	10884	0	0
2018.06.14	22795.3	22913.9	22702.5	22877.7	12019	0	0
2018.06.15	22864.2	22907.5	22672.3	22808.7	14767	0	0
2018.06.18	22787.2	22859.7	22577.1	22696.9	9478	0	0
2018.06.19	22683.0	22713.2	22111.7	22271.6	21145	0	0
2018.06.20	22255.4	22588.0	22161.5	22491.5	17319	0	0
2018.06.21	22474.2	22773.0	22401.4	22421.4	21752	0	0
2018.06.22	22418.9	22632.8	22391.5	22516.4	12831	0	0
2018.06.25	22486.2	22559.7	22030.7	22213.4	26286	0	0
2018.06.26	22204.7	22412.1	22095.7	22308.3	22235	0	0
2018.06.27	22313.2	22447.0	22130.6	22176.9	33108	0	0
2018.06.28	22170.7	22351.9	22060.5	22320.6	32887	0	0
2018.06.29	22309.3	22371.8	22161.7	22271.7	21197	0	0
2018.07.02	22230.1	22333.8	21717.4	21889.8	26391	0	0
2018.07.03	21875.0	21951.2	21581.0	21739.7	27213	0	0
2018.07.04	21726.0	21796.0	21614.7	21719.6	12414	0	0
2018.07.05	21717.0	21757.2	21474.4	21722.1	22197	0	0
2018.07.06	21715.3	21895.7	21654.5	21865.7	23226	0	0
2018.07.09	21836.7	22225.5	21820.4	22221.8	14016	0	0
2018.07.10	22218.0	22329.1	22164.0	22170.3	14885	0	0
2018.07.11	22157.8	22166.6	21760.2	22038.8	27957	0	0
2018.07.12	21997.6	22365.2	21997.6	22360.1	17753	0	0
2018.07.13	22322.6	22705.2	22322.6	22603.8	15928	0	0
2018.07.16	22711.0	22743.5	22554.7	22556.1	6340	0	0
2018.07.17	22547.2	22885.9	22510.9	22880.9	15664	0	0
2018.07.18	22872.2	22954.7	22788.2	22885.8	18214	0	0
2018.07.19	22857.1	22929.6	22688.1	22739.4	18721	0	0
2018.07.20	22706.9	22879.4	22507.9	22555.5	22505	0	0
2018.07.23	22526.5	22564.0	22342.7	22467.6	13881	0	0
2018.07.24	22461.3	22623.8	22412.5	22563.7	17633	0	0
2018.07.25	22547.6	22673.6	22512.3	22646.3	16623	0	0
2018.07.26	22534.2	22683.5	22518.2	22637.2	18061	0	0
2018.07.27	22634.7	22758.5	22577.0	22628.4	16592	0	0
2018.07.30	22609.3	22634.4	22471.6	22486.6	16194	0	0
2018.07.31	22465.5	22707.9	22351.7	22672.9	24115	0	0
2018.08.01	22655.4	22827.9	22564.2	22714.0	18366	0	0
2018.08.02	22708.9	22752.8	22381.4	22612.6	21567	0	0
2018.08.03	22620.1	22725.6	22446.2	22568.8	17021	0	0
2018.08.06	22586.1	22621.0	22452.2	22548.4	11654	0	0
2018.08.07	22528.5	22692.0	22512.6	22663.3	8825	0	0
2018.08.08	22654.5	22798.3	22550.5	22550.6	9731	0	0
2018.08.09	22544.4	22631.8	22490.5	22558.0	9448	0	0
2018.08.10	22544.2	22613.8	22070.2	22202.9	22188	0	0
2018.08.13	21977.4	22155.0	21832.5	22067.4	27057	0	0
2018.08.14	22068.7	22381.2	22024.9	22334.8	21100	0	0
2018.08.15	22314.9	22364.7	21852.2	22014.6	27069	0	0
2018.08.16	22003.4	22355.9	21869.6	22275.8	22998	0	0
2018.08.17	22273.3	22337.1	22084.4	22250.7	18592	0	0
2018.08.20	22248.2	22275.5	22137.9	22164.1	2466	0	0
2018.08.21	22146.5	22367.8	22040.3	22235.2	2101	0	0
2018.08.22	22232.7	22455.2	22143.9	22375.1	2374	0	0
2018.08.23	22371.3	22525.0	22362.6	22495.0	2067	0	0
2018.08.24	22492.5	22640.0	22443.7	22616.2	1642	0	0
2018.08.27	22613.7	22905.7	22613.7	22900.8	1490	0	0
2018.08.28	22909.6	22987.4	22771.9	22804.4	1544	0	0
2018.08.29	22791.9	23016.8	22791.9	23016.8	1958	0	0
2018.08.30	23021.8	23134.3	22657.9	22711.7	3153	0	0
2018.08.31	22709.2	22894.1	22679.1	22814.0	2769	0	0
2018.09.03	22821.3	22852.6	22692.4	22763.7	1949	0	0
2018.09.04	22751.2	22803.7	22591.1	22714.9	3254	0	0
2018.09.05	22713.5	22718.5	22483.4	22527.2	3150	0	0
2018.09.06	22505.9	22563.3	22357.0	22384.6	23286	0	0
2018.09.07	22390.8	22441.9	22164.6	22319.5	35095	0	0
2018.09.10	22322.9	22496.5	22239.1	22452.8	24797	0	0
2018.09.11	22435.3	22727.7	22435.3	22717.7	17998	0	0
2018.09.12	22715.2	22735.2	22526.3	22642.4	19129	0	0
2018.09.13	22647.5	23003.5	22622.1	22967.8	17265	0	0
2018.09.14	22932.5	23254.7	22932.5	23232.9	19219	0	0
2018.09.17	23186.1	23364.6	23128.0	23184.6	9772	0	0
2018.09.18	23173.3	23883.1	23021.0	23821.6	23962	0	0
2018.09.19	23817.7	23849.0	23667.5	23752.1	17676	0	0
2018.09.20	23749.5	23857.8	23575.6	23856.2	15502	0	0
2018.09.21	23849.9	23977.6	23765.3	23855.9	16973	0	0
2018.09.24	23815.2	23865.3	23738.3	23862.7	12768	0	0
2018.09.25	23858.9	24021.4	23802.2	23981.9	12946	0	0
2018.09.26	23963.0	24177.2	23961.6	23990.4	16634	0	0
2018.09.27	24005.5	24269.3	23921.8	24202.3	20642	0	0
2018.09.28	24201.1	24429.3	24142.0	24306.3	21351	0	0
2018.10.01	24327.1	24619.8	24274.2	24539.1	15696	0	0
2018.10.02	24546.6	24584.1	24225.6	24356.8	24912	0	0
2018.10.03	24334.1	24496.0	24165.4	24420.5	20431	0	0
2018.10.04	24402.9	24426.5	23750.0	23906.7	34973	0	0
2018.10.05	23894.1	24067.2	23683.2	23784.7	38938	0	0
2018.10.08	23834.4	23937.1	23488.1	23745.1	22889	0	0
2018.10.09	23722.4	23744.9	23443.0	23643.2	31478	0	0
2018.10.10	23640.6	23718.3	22827.3	22833.5	48942	0	0
2018.10.11	22830.9	23028.2	22360.3	22676.4	101357	0	0
2018.10.12	22648.7	22876.6	22333.9	22685.0	55185	0	0
2018.10.15	22669.6	22672.0	22144.5	22306.9	2179	0	0
2018.10.16	22314.4	23005.5	22264.2	23003.0	1424	0	0
2018.10.17	23000.5	23052.9	22742.2	23004.1	20546	0	0
2018.10.18	23026.6	23049.1	22264.1	22415.6	41969	0	0
2018.10.19	22392.9	22795.9	22318.7	22574.7	44189	0	0
2018.10.22	22499.1	22808.4	22364.6	22575.5	42719	0	0
2018.10.23	22551.7	22580.4	21731.7	22248.0	61854	0	0
