Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ATEX,"Anterix Inc.",38.09,0.55,+1.47%,37.63,38.78,37.63,569600,2024-08-23
ATGE,"Adtalem Global Education Inc",75.35,1.47,+1.99%,74.08,75.66,73.8,395800,2024-08-23
ATKR,"Atkore Inc",102.75,5.4,+5.55%,98.1,102.85,97.44,834100,2024-08-23
ATLC,"Atlanticus Holdings Corp",34.97,1.66,+4.98%,33.61,35.57,33.61,23300,2024-08-23
ATLO,"Ames Natl Corp",18.16,0.66,+3.77%,17.48,18.26,17.29,25600,2024-08-23
ATMU,"Atmus Filtration Technologies Inc",34.36,1.01,+3.03%,33.51,34.44,33.4,1611700,2024-08-23
ATNI,"Atn International",26.82,0.98,+3.79%,25.97,26.85,25.97,48100,2024-08-23
ATNM,"Actinium Pharmaceuticals Inc",2.01,-0.03,-1.47%,2.02,2.05,1.96,416300,2024-08-23
ATOS,"Atossa Therapeutics Inc",1.42,0.05,+3.65%,1.38,1.42,1.3683,581800,2024-08-23
ATRC,"Atricure Inc",25.44,1.09,+4.48%,24.59,25.6,24.48,494000,2024-08-23
ATRO,"Astronics Corp",20.72,0.81,+4.07%,20.03,20.9,19.93,133900,2024-08-23
ATSG,"Air Transport",16.43,0.74,+4.72%,15.8,16.5,15.75,534000,2024-08-23
ATXS,"Astri Therapeutics Inc",12.3,0.56,+4.77%,11.83,12.35,11.7,245800,2024-08-23
AUB,"Atlantic Union Bancshares Corp",39.56,2.07,+5.52%,37.79,40.02,37.71,493400,2024-08-23
AUPH,"Aurinia Pharm Ord",6.76,0.11,+1.65%,6.67,6.94,6.62,1701500,2024-08-23
AUR,"Aurora Innovation Inc Cl A",4.3,0.67,+18.46%,3.68,4.3,3.61,9415600,2024-08-23
AURA,"Aura Biosciences Inc",7.59,0.2,+2.71%,7.54,7.68,7.3,121900,2024-08-23
AVA,"Avista Corp",38.9,0.51,+1.33%,38.48,38.99,38.28,354400,2024-08-23
AVAH,"Aveanna Healthcare Holdings Inc",5.6,0.18,+3.32%,5.49,5.87,5.45,352200,2024-08-23
AVAV,"Aerovironment Inc",185.62,1.61,+0.87%,185.01,186.74,183.04,185800,2024-08-23
AVBP,"Arrivent Biopharma Inc",24.27,0.4,+1.68%,23.96,24.72,23.59,309600,2024-08-23
AVD,"American Vanguard Corp",5.87,0.25,+4.45%,5.63,5.885,5.625,301900,2024-08-23
AVDL,"Avadel Pharmaceuticals Plc ADR",16.5,0.33,+2.04%,16.28,16.59,16.26,464200,2024-08-23
AVDX,"Avidxchange Holdings Inc",7.89,0.12,+1.54%,8.13,8.13,7.82,3282400,2024-08-23
AVIR,"Atea Pharmaceuticals Inc",3.9,0.12,+3.17%,3.81,3.95,3.8,224100,2024-08-23
AVNS,"Avanos Medical Inc",23.63,0.42,+1.81%,23.38,23.95,23.25,170500,2024-08-23
AVNT,"Avient Corp",48.59,1.86,+3.98%,47.16,48.91,46.955,375600,2024-08-23
AVNW,"Aviat Networks Inc",27.72,0.74,+2.74%,27.28,28.37,26.85,384900,2024-08-23
AVO,"Mission Produce Inc",10.54,0.25,+2.43%,10.38,10.61,10.36,112900,2024-08-23
AVPT,"Avepoint Inc Cl A",10.79,0.04,+0.37%,10.85,10.91,10.73,872000,2024-08-23
AVTE,"Aerovate Therapeutics Inc",1.87,0.03,+1.63%,1.9,1.91,1.83,175900,2024-08-23
AVXL,"Anavex Lf SC",6.32,0.19,+3.10%,6.17,6.5,6.15,682300,2024-08-23
AWR,"American States Water Company",80.68,0.22000000000001,+0.27%,80.88,81.5,80.02,206200,2024-08-23
AX,"Axos Financial Inc",69.69,5.2,+8.06%,65.22,69.88,64.84,756200,2024-08-23
AXGN,"Axogen Inc",12.52,0.17,+1.38%,12.45,12.68,12.31,276100,2024-08-23
AXL,"American Axle & Manufacturing",6.53,0.28,+4.48%,6.33,6.66,6.295,2038500,2024-08-23
AXNX,"Axonics Inc",68.95,0.02,+0.03%,69.1,69.1,68.8,226300,2024-08-23
AXSM,"Axsome Thera",87.99,0.88,+1.01%,87.55,88.22,86.25,329700,2024-08-23
AZZ,"Azz Inc",83.41,4.24,+5.36%,80.17,84.315,78.95,229600,2024-08-23
B,"Barnes Group",38.44,0.54,+1.42%,38.28,38.95,38.14,196000,2024-08-23
BALY,"Bally's Corp",17.1,0.020000000000003,+0.12%,17.09,17.11,17.08,463900,2024-08-23
BANC,"First Pactrust Bancorp",14.64,0.71,+5.10%,14.11,14.86,14.065,2702500,2024-08-23
BAND,"Bandwidth Inc",17.33,0.99,+6.06%,16.58,17.36,16.55,268800,2024-08-23
BANF,"Bancfirst Corp",107.06,5.25,+5.16%,102.49,108.35,101.08,83100,2024-08-23
BANR,"Banner Corp",59.15,3.15,+5.63%,56.55,59.97,56.4,160300,2024-08-23
BARK,"Bark Inc",1.75,0.09,+5.42%,1.65,1.75,1.58,721400,2024-08-23
BASE,"Couchbase Inc",18.27,0.09,+0.50%,18.33,18.56,18.14,302200,2024-08-23
BATRA,"Atlanta Braves Holdings Inc",46.24,0.3,+0.65%,46.03,46.65,46.03,60200,2024-08-23
BATRK,"Atlanta Braves Holdings Inc C",43.74,0.45,+1.04%,43.31,44,43.3,188200,2024-08-23
BBAI,"Bigbear.Ai Holdings Inc",1.72,0.1,+6.17%,1.55,1.75,1.54,9024500,2024-08-23
BBCP,"Concrete Pumping Holdings Inc",6.47,0.31,+5.03%,6.15,6.51,6.15,110100,2024-08-23
BBIO,"Bridgebio Pharma Inc",25.31,0.42,+1.69%,25.05,25.67,24.63,911600,2024-08-23
BBSI,"Barrett Business S",35.77,0.19,+0.53%,35.77,36.44,35.41,310300,2024-08-23
BBUC,"Brookfield Business Corp",22.55,1.21,+5.67%,21.39,22.87,21.39,66500,2024-08-23
BBW,"Build-A-Bear Workshop",28.73,0.51,+1.81%,28.53,29.19,28.53,154900,2024-08-23
BCAL,"California Bancorp",14.92,0.61,+4.26%,14.44,15.1,14.31,114800,2024-08-23
BCBP,"Bcb Bancorp Inc",12.69,0.87,+7.36%,11.87,12.84,11.87,55100,2024-08-23
BCC,"Boise Cascade L.L.C.",138.66,8.76,+6.74%,131.06,139.265,130.31,265400,2024-08-23
BCML,"Bay Commercial Bk CA",23.15,1.3,+5.95%,21.79,23.24,21.79,17800,2024-08-23
BCO,"Brink's Company",109.22,3.96,+3.76%,106.58,109.75,105.6,346500,2024-08-23
BCPC,"Balchem Corp",172.74,4.91,+2.93%,168.9,173.96,168.9,92700,2024-08-23
BCRX,"Biocryst Pharma Inc",8.1,0.17,+2.14%,7.94,8.15,7.88,2232000,2024-08-23
BDC,"Belden Inc",106.69,2.69,+2.59%,104.82,107.02,104.41,240200,2024-08-23
BDN,"Brandywine Realty Trust",5.27,0.17,+3.33%,5.12,5.35,5.112,1765800,2024-08-23
BDTX,"Black Diamond Therapeutics Inc",6.46,0.34,+5.56%,6.19,6.66,5.96,614700,2024-08-23
BE,"Bloom Energy Corp Cl A",11.86,0.62,+5.52%,11.32,11.885,11.25,3648000,2024-08-23
BEAM,"Beam Therapeutics Inc",26.81,2.29,+9.34%,24.87,26.86,24.28,1421400,2024-08-23
BECN,"Beacon Roofing Suppl",90.6,3.27,+3.74%,88.57,91.18,88.07,741200,2024-08-23
BELFA,"BEL Fuse Cl A",86.99,2.29,+2.70%,85.13,87.5,84.8,8500,2024-08-23
BELFB,"BEL Fuse Inc Cl B",66.28,1.82,+2.82%,65.16,67.25,65.16,78800,2024-08-23
BFC,"Bank First National Corp [Wisconsin]",94.05,5.6,+6.33%,88.67,95,88.67,26600,2024-08-23
BFH,"Bread Financial Hldgs Inc",56.53,1.95,+3.57%,55.03,56.78,55.03,773300,2024-08-23
BFS,"Saul Centers",40.71,0.79,+1.98%,40.21,41.23,40.1796,30200,2024-08-23
BFST,"Business First Bancshares Inc",24.14,1.27,+5.55%,22.94,24.6,22.94,116400,2024-08-23
