<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.06.22	11543.5	11712.8	11287.5	11510.0	154201	0	15
2022.06.23	11509.2	11734.2	11427.6	11653.5	189709	0	15
2022.06.24	11657.0	12115.4	11651.7	12098.1	119221	0	15
2022.06.27	12109.0	12228.6	11962.1	12040.6	149470	0	15
2022.06.28	12045.2	12141.1	11632.3	11653.4	149340	0	15
2022.06.29	11647.1	11718.3	11534.4	11660.7	166304	0	15
2022.06.30	11660.7	11665.4	11321.0	11479.7	183912	0	15
2022.07.01	11475.0	11599.7	11351.0	11588.0	193140	0	15
2022.07.04	11580.8	11584.5	11472.5	11526.4	71703	0	15
2022.07.05	11537.4	11788.0	11358.4	11783.7	175605	0	15
2022.07.06	11795.9	11946.9	11700.5	11876.7	184784	0	15
2022.07.07	11876.4	12140.8	11809.4	12091.7	106492	0	15
2022.07.08	12084.9	12183.5	11925.1	12132.9	137254	0	15
2022.07.11	12113.9	12114.9	11826.0	11872.4	123936	0	15
2022.07.12	11869.7	11997.9	11687.3	11753.0	144827	0	15
2022.07.13	11759.3	11941.7	11453.5	11707.3	191434	0	15
2022.07.14	11702.0	11809.0	11486.1	11781.5	176077	0	15
2022.07.15	11788.0	11994.9	11714.5	11993.0	140523	0	15
2022.07.18	12037.5	12160.6	11832.9	11889.8	116358	0	15
2022.07.19	11881.0	12302.0	11863.2	12292.2	108609	0	15
2022.07.20	12307.3	12491.8	12209.7	12401.7	131803	0	15
2022.07.21	12416.2	12628.6	12348.3	12546.5	154768	0	15
2022.07.22	12532.7	12672.7	12318.3	12400.0	130340	0	15
2022.07.25	12401.2	12472.1	12241.3	12298.5	129550	0	15
2022.07.26	12284.8	12307.0	12046.2	12170.0	113391	0	15
2022.07.27	12171.8	12664.0	12168.0	12554.6	118889	0	15
2022.07.28	12556.1	12926.2	12423.4	12901.0	130957	0	15
2022.07.29	12877.3	12986.4	12722.4	12953.3	108830	0	15
2022.08.01	12959.1	13085.7	12829.8	12958.6	109899	0	15
2022.08.02	12945.1	13074.8	12793.2	12897.1	131386	0	15
2022.08.03	12905.7	13288.9	12844.9	13227.4	104584	0	15
2022.08.04	13220.7	13332.2	13162.3	13304.4	114521	0	15
2022.08.05	13300.8	13358.6	13060.7	13191.1	114606	0	15
2022.08.08	13219.6	13394.2	13095.9	13187.6	122129	0	15
2022.08.09	13177.8	13207.4	12944.9	13036.8	112870	0	15
2022.08.10	13031.0	13388.6	12963.1	13360.9	111845	0	15
2022.08.11	13355.4	13554.2	13264.7	13325.5	111474	0	15
2022.08.12	13321.7	13560.8	13290.4	13557.4	95153	0	15
2022.08.15	13543.2	13687.3	13473.6	13658.9	81882	0	15
2022.08.16	13654.3	13721.9	13504.4	13644.0	93163	0	15
2022.08.17	13632.3	13648.5	13384.1	13487.4	121986	0	15
2022.08.18	13472.2	13554.4	13387.1	13517.3	103321	0	15
2022.08.19	13511.5	13512.1	13208.5	13230.3	95930	0	15
2022.08.22	13185.8	13200.7	12854.1	12912.2	100482	0	15
2022.08.23	12914.1	12997.5	12802.4	12867.0	119544	0	15
2022.08.24	12867.7	12992.0	12804.1	12938.8	102317	0	15
2022.08.25	12925.9	13147.0	12908.1	13129.7	97134	0	15
2022.08.26	13143.3	13204.3	12543.1	12546.0	136339	0	15
2022.08.29	12471.9	12594.7	12387.2	12489.8	149839	0	15
2022.08.30	12489.1	12642.3	12232.8	12344.3	135549	0	15
2022.08.31	12350.3	12496.3	12265.9	12295.2	167849	0	15
2022.09.01	12272.6	12286.7	12006.3	12277.8	148614	0	15
2022.09.02	12284.3	12449.1	12028.3	12117.8	156079	0	15
2022.09.05	12094.8	12154.7	12041.0	12123.6	76974	0	15
2022.09.06	12120.8	12231.0	11917.8	12011.5	168746	0	15
2022.09.07	12004.4	12296.8	11912.2	12253.9	133361	0	15
2022.09.08	12267.2	12369.8	12108.5	12339.1	150553	0	15
2022.09.09	12336.5	12606.9	12322.5	12582.7	81548	0	15
2022.09.12	12633.4	12766.2	12566.2	12764.4	101847	0	15
2022.09.13	12764.8	12874.8	11996.6	12040.3	120483	0	15
2022.09.14	12040.7	12165.3	11993.3	12162.7	158150	0	15
2022.09.15	12155.3	12180.5	11852.0	11887.0	139384	0	15
2022.09.16	11860.3	11878.0	11692.6	11875.6	142578	0	15
2022.09.19	11831.5	11986.7	11712.9	11967.3	121772	0	15
2022.09.20	11967.8	12012.8	11749.6	11868.8	104106	0	15
2022.09.21	11862.5	12064.6	11573.5	11591.9	151222	0	15
2022.09.22	11590.3	11721.4	11436.4	11491.5	183472	0	15
2022.09.23	11501.8	11525.7	11155.6	11313.3	163537	0	15
2022.09.26	11304.0	11463.9	11182.3	11239.5	205733	0	15
2022.09.27	11239.0	11493.4	11160.1	11288.4	177264	0	15
2022.09.28	11293.6	11550.4	11075.6	11477.6	217326	0	15
2022.09.29	11482.2	11502.1	11030.1	11170.0	190870	0	15
2022.09.30	11161.1	11294.9	10964.5	10997.4	205673	0	15
2022.10.03	10952.0	11303.3	10829.9	11254.5	171530	0	15
2022.10.04	11256.6	11616.4	11224.8	11583.4	146765	0	15
2022.10.05	11576.3	11649.4	11308.1	11567.7	148942	0	15
2022.10.06	11564.8	11667.7	11446.8	11447.7	165963	0	15
2022.10.07	11428.7	11504.2	10984.5	11037.2	145389	0	15
2022.10.10	10995.9	11074.7	10818.5	10935.4	144475	0	15
2022.10.11	10929.7	10980.4	10709.5	10820.8	177657	0	15
2022.10.12	10811.9	10916.4	10747.0	10793.9	170696	0	15
2022.10.13	10804.2	11083.8	10426.3	11006.2	195092	0	15
2022.10.14	11011.9	11193.8	10668.0	10687.3	195327	0	15
2022.10.17	10675.7	11090.7	10672.4	11079.9	135880	0	15
2022.10.18	11125.2	11377.5	11028.0	11270.7	168993	0	15
2022.10.19	11274.9	11327.7	11003.9	11105.0	164316	0	15
2022.10.20	11090.0	11282.6	10962.0	11013.3	184838	0	15
2022.10.21	11008.1	11339.7	10891.5	11331.8	187579	0	15
2022.10.24	11356.8	11484.3	11162.6	11414.0	210675	0	15
2022.10.25	11412.8	11685.0	11384.1	11539.9	146742	0	15
2022.10.26	11468.8	11657.1	11368.8	11429.1	152858	0	15
2022.10.27	11376.7	11490.4	10878.2	11048.4	174495	0	15
2022.10.28	11087.0	11577.1	11014.0	11576.5	154347	0	15
2022.10.31	11537.8	11540.0	11320.1	11411.9	124343	0	15
2022.11.01	11413.5	11576.1	11249.9	11282.2	129327	0	15
2022.11.02	11285.3	11420.1	10869.7	10903.2	150815	0	15
2022.11.03	10891.9	10956.6	10670.3	10694.1	136785	0	15
2022.11.04	10674.3	10935.1	10597.1	10840.0	171143	0	15
2022.11.07	10748.1	11007.3	10748.1	10983.0	140328	0	15
2022.11.08	10982.2	11199.8	10897.8	11056.7	108094	0	15
2022.11.09	11060.5	11130.5	10789.3	10809.0	150215	0	15
2022.11.10	10814.5	11643.2	10765.5	11643.2	144829	0	15
2022.11.11	11632.5	11843.3	11536.6	11802.0	155732	0	15
2022.11.14	11749.9	11864.0	11667.7	11733.8	121121	0	15
2022.11.15	11736.4	12083.4	11726.8	11864.3	155647	0	15
2022.11.16	11843.8	11927.6	11673.3	11739.7	138771	0	15
2022.11.17	11742.1	11793.3	11494.6	11711.3	116021	0	15
2022.11.18	11722.3	11808.8	11573.4	11677.1	107159	0	15
2022.11.21	11694.3	11720.8	11519.6	11554.3	103114	0	15
2022.11.22	11554.2	11725.2	11492.2	11705.3	75811	0	15
2022.11.23	11712.9	11858.1	11685.1	11840.9	84513	0	15
2022.11.24	11840.1	11897.4	11839.4	11876.5	22534	0	15
2022.11.25	11878.4	11888.6	11731.6	11753.2	42449	0	15
2022.11.28	11704.1	11758.4	11547.5	11595.8	76432	0	15
2022.11.29	11590.3	11675.5	11437.5	11492.0	85232	0	15
2022.11.30	11486.3	12046.1	11468.6	12043.1	108538	0	15
2022.12.01	12048.3	12107.9	11913.7	12005.4	99766	0	15
2022.12.02	12005.4	12035.8	11708.9	11960.6	85745	0	15
2022.12.05	11985.9	11993.7	11731.6	11797.3	81138	0	15
2022.12.06	11794.2	11831.1	11491.6	11555.9	85492	0	15
2022.12.07	11558.0	11585.1	11411.5	11489.0	95175	0	15
2022.12.08	11494.2	11675.9	11423.4	11627.1	86629	0	15
2022.12.09	11630.9	11732.4	11507.2	11544.6	81794	0	15
2022.12.12	11558.3	11707.8	11514.8	11689.2	73720	0	15
2022.12.13	11692.8	12224.2	11672.0	11823.5	146294	0	15
2022.12.14	11828.0	11947.9	11607.6	11766.6	148912	0	15
2022.12.15	11751.9	11775.3	11286.6	11337.3	122071	0	15
2022.12.16	11339.6	11377.0	11166.9	11209.8	127064	0	15
2022.12.19	11217.1	11299.4	11021.0	11074.0	89944	0	15
2022.12.20	11077.8	11136.1	10932.3	11083.3	125344	0	15
2022.12.21	11099.6	11288.9	11070.6	11255.9	89230	0	15
2022.12.22	11258.5	11285.9	10775.9	10949.0	98115	0	15
2022.12.23	10959.6	11047.2	10822.1	10972.8	114577	0	15
2022.12.27	11040.0	11088.0	10801.4	10817.7	81126	0	15
2022.12.28	10816.0	10901.0	10674.1	10701.5	88521	0	15
2022.12.29	10707.5	10988.2	10693.7	10946.1	68183	0	15
2022.12.30	10950.7	10969.9	10772.2	10959.0	74435	0	15
2023.01.03	11044.6	11099.7	10768.0	10864.0	130934	0	15
2023.01.04	10849.7	10987.9	10784.3	10902.7	120547	0	15
2023.01.05	10916.4	10965.6	10729.6	10759.7	109248	0	15
2023.01.06	10764.2	11089.1	10675.0	11030.9	111800	0	15
2023.01.09	11053.6	11309.4	11044.6	11107.3	94823	0	15
2023.01.10	11106.8	11216.3	11017.8	11208.3	100952	0	15
2023.01.11	11209.4	11407.4	11167.8	11402.5	68407	0	15
2023.01.12	11404.0	11506.4	11219.5	11450.3	124644	0	15
2023.01.13	11452.5	11547.4	11317.1	11529.4	89116	0	15
2023.01.16	11535.1	11565.7	11438.0	11491.9	24433	0	15
2023.01.17	11500.1	11613.1	11458.3	11550.3	77812	0	15
2023.01.18	11540.9	11687.1	11396.0	11410.8	91608	0	15
2023.01.19	11398.5	11414.2	11237.1	11322.8	84279	0	15
2023.01.20	11330.3	11614.9	11293.3	11605.0	67352	0	15
2023.01.23	11602.6	11910.9	11578.3	11862.4	76246	0	15
2023.01.24	11861.1	11937.2	11763.5	11899.0	80418	0	15
2023.01.25	11899.6	11902.2	11533.1	11815.4	93397	0	15
2023.01.26	11808.8	12059.2	11807.1	12005.1	89735	0	15
2023.01.27	11992.8	12254.0	11963.0	12167.9	78097	0	15
2023.01.30	12146.9	12196.9	11907.0	11935.3	91080	0	15
2023.01.31	11933.4	12102.3	11816.7	12064.9	82734	0	15
2023.02.01	12059.7	12468.3	12002.1	12451.6	114405	0	15
2023.02.02	12471.4	12892.3	12446.4	12618.3	128979	0	15
2023.02.03	12683.9	12826.9	12496.4	12564.3	147538	0	15
2023.02.06	12519.7	12555.8	12404.7	12459.6	108117	0	15
2023.02.07	12464.4	12766.0	12407.3	12687.9	123450	0	15
2023.02.08	12699.0	12754.8	12467.6	12516.2	102785	0	15
2023.02.09	12506.6	12685.4	12326.1	12408.2	98534	0	15
2023.02.10	12392.5	12406.8	12200.4	12297.9	116402	0	15
2023.02.13	12310.9	12523.1	12221.7	12501.4	84100	0	15
2023.02.14	12499.4	12639.4	12346.4	12572.6	141379	0	15
2023.02.15	12568.7	12706.8	12475.7	12698.9	93881	0	15
2023.02.16	12688.7	12742.8	12414.0	12424.4	102458	0	15
2023.02.17	12411.3	12415.8	12228.1	12347.5	97599	0	15
2023.02.20	12343.1	12381.9	12311.3	12331.9	20843	0	15
2023.02.21	12330.3	12343.9	12057.3	12076.3	90266	0	15
2023.02.22	12075.4	12162.4	11999.4	12137.8	106722	0	15
2023.02.23	12146.8	12230.9	12000.8	12163.0	89265	0	15
2023.02.24	12159.4	12184.9	11894.5	11971.1	89857	0	15
2023.02.27	11965.7	12160.2	11960.9	12064.9	71390	0	15
2023.02.28	12074.4	12143.4	11996.8	12010.6	72995	0	15
2023.03.01	12004.5	12111.1	11895.6	11955.0	81098	0	15
2023.03.02	11934.9	12064.2	11800.1	12018.6	90002	0	15
