年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
2023/09,M1200,食品工業,,1.21,3463312,,-0.4617,
2023/09,M1300,塑膠工業,,3.18,9101927,,0.2613,
2023/09,M1500,電機機械,,0.55,1574233,,-1.725,
2023/09,M2000,鋼鐵工業,,1.12,3205710,,-1.5645,
2023/09,M2200,汽車工業,,0.77,2203926,,0.9868,
2023/09,M2300,電子工業,,73.88,211462389,,-2.6529,
2023/09,M2600,航運業,,0.42,1202141,,0.7625,
2023/09,M2800,金融業(合計),,14.62,41845968,,0.3124,
2023/09,M2900,貿易百貨,,0.53,1516988,,-2.5527,
2023/09,M3700,運動休閒,,0.33,944540,,-0.7222,
2023/09,M9700,油電燃氣業,,0.4,1144897,,1.2962,
2023/09,M9900,其他,,0.92,2633262,,-0.2295,
2023/09,MTSE,國內上市,,98.68,282445974,,-1.6878,
2023/09,TT99,基金總規模,,,286224133,,,
2023/08,2303,聯電,129344,1.92,5885131,1.03,-3.1915,TW0002303005
2023/08,2308,台達電,23824,2.69,8243116,0.92,-5.335,TW0002308004
2023/08,2317,鴻海,131599,4.57,14015292,0.95,-1.8434,TW0002317005
2023/08,2330,台積電,264829,47.39,145390920,1.02,-2.832,TW0002330008
2023/08,2382,廣達,29340,2.42,7437752,0.76,6.2896,TW0002382009
2023/08,2412,中華電,41943,1.59,4865442,0.54,-0.0001,TW0002412004
2023/08,2454,聯發科,16414,3.77,11571522,1.03,2.174,TW0002454006
2023/08,2881,富邦金,81311,1.69,5171383,0.66,-2.9007,TW0002881000
2023/08,2882,國泰金,101505,1.51,4628641,0.69,-0.3278,TW0002882008
2023/08,2891,中信金,200967,1.56,4793056,1.03,-5.4497,TW0002891009
2023/08,M2300,電子工業,,64.35,197409176,,-2.07,
2023/08,M2800,金融業(合計),,4.76,14593080,,-4.6844,
2023/08,MTSE,國內上市,,69.1,212002256,,-2.9801,
2023/08,TT99,基金總規模,,,306784729,,,
2023/07,2303,聯電,130387,1.92,6128194,1.04,-3.0929,TW0002303005
2023/07,2308,台達電,24017,2.75,8778059,0.92,6.0957,TW0002308004
2023/07,2317,鴻海,132660,4.52,14393623,0.96,0.644,TW0002317005
2023/07,2330,台積電,266965,47.33,150835390,1.03,-1.9096,TW0002330008
2023/07,2382,廣達,29577,2.21,7054183,0.77,56.9077,TW0002382009
2023/07,2412,中華電,42281,1.54,4904606,0.55,-0.4294,TW0002412004
